2024-02-23 18:23:00,833 INFO    MainThread:4063119 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-02-23 18:23:00,834 INFO    MainThread:4063119 [wandb_setup.py:_flush():76] Configure stats pid to 4063119
2024-02-23 18:23:00,834 INFO    MainThread:4063119 [wandb_setup.py:_flush():76] Loading settings from /users/yliang51/.config/wandb/settings
2024-02-23 18:23:00,834 INFO    MainThread:4063119 [wandb_setup.py:_flush():76] Loading settings from /oscar/data/jtompki1/yliang51/GaussianDiff/wandb/settings
2024-02-23 18:23:00,834 INFO    MainThread:4063119 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-02-23 18:23:00,834 INFO    MainThread:4063119 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-23 18:23:00,834 INFO    MainThread:4063119 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': '/oscar/data/jtompki1/yliang51/GaussianDiff/main.py', 'program': 'main.py'}
2024-02-23 18:23:00,834 INFO    MainThread:4063119 [wandb_init.py:_log_setup():526] Logging user logs to ./output/base/wandb/run-20240223_182300-ev0a072g/logs/debug.log
2024-02-23 18:23:00,834 INFO    MainThread:4063119 [wandb_init.py:_log_setup():527] Logging internal logs to ./output/base/wandb/run-20240223_182300-ev0a072g/logs/debug-internal.log
2024-02-23 18:23:00,834 INFO    MainThread:4063119 [wandb_init.py:init():566] calling init triggers
2024-02-23 18:23:00,834 INFO    MainThread:4063119 [wandb_init.py:init():574] wandb.init called with sweep_config: {}
config: {}
2024-02-23 18:23:00,834 INFO    MainThread:4063119 [wandb_init.py:init():616] starting backend
2024-02-23 18:23:00,834 INFO    MainThread:4063119 [wandb_init.py:init():620] setting up manager
2024-02-23 18:23:00,836 INFO    MainThread:4063119 [backend.py:_multiprocessing_setup():107] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-02-23 18:23:00,843 INFO    MainThread:4063119 [wandb_init.py:init():628] backend started and connected
2024-02-23 18:23:00,846 INFO    MainThread:4063119 [wandb_init.py:init():720] updated telemetry
2024-02-23 18:23:00,913 INFO    MainThread:4063119 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-02-23 18:23:01,329 INFO    MainThread:4063119 [wandb_run.py:_on_init():2262] communicating current version
2024-02-23 18:23:01,381 INFO    MainThread:4063119 [wandb_run.py:_on_init():2271] got version response 
2024-02-23 18:23:01,382 INFO    MainThread:4063119 [wandb_init.py:init():804] starting run threads in backend
2024-02-23 18:23:05,959 INFO    MainThread:4063119 [wandb_run.py:_console_start():2241] atexit reg
2024-02-23 18:23:05,959 INFO    MainThread:4063119 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-02-23 18:23:05,959 INFO    MainThread:4063119 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-02-23 18:23:05,959 INFO    MainThread:4063119 [wandb_run.py:_redirect():2186] Redirects installed.
2024-02-23 18:23:05,960 INFO    MainThread:4063119 [wandb_init.py:init():847] run started, returning control to user process
2024-02-23 18:23:12,100 WARNING MsgRouterThr:4063119 [router.py:message_loop():77] message_loop has been closed
